video_id,video_title,upload_date,view_count,like_count
ZNqWvdPCZOo,Superliga. Qo’qon-1912 - Nasaf 1:2. Highlights,2021-06-28,16432,309
nlqEYTAMpEE,"SHomurodov Yuventus nishonida bu safar jiddiy, Masharipov Paxtakorda",2021-06-28,17646,429
l1QwsFSxbtI,Superliga. Andijon - AGMK 2:3. Highlights,2021-06-27,7286,129
io817ZLosvM,Superliga. Surxon - Paxtakor 0:4. Highlights,2021-06-27,7097,116
ah6yhX6HZOU,"Tezkor va Yevro Studiya. &quot;Qizilqum&quot; 4-o&#39;rinda, Italiya va Daniya chorak finalda",2021-06-27,2457,67
0OcSutWOWt4,Superliga. Qizilqum - Bunyodkor 2:1. Highlights,2021-06-26,6884,151
quRUnpuJ7yo,Superliga. Metallurg - Navbahor 2:2. Highlights,2021-06-26,7694,119
kzk8ZwJjzC8,Superliga. So&#39;g&#39;diyona - Lokomotiv 0:0. Highlights,2021-06-25,4651,101
oeVwUy9Ew64,Futzal. O&#39;zbekiston Venesuela bilan jangovar durang o&#39;ynadi,2021-06-25,4953,110
1fUquMni2u0,"Odil Ahmedovning terma jamoadagi barcha gollari, Odil Ahmedov all goals for national football team",2021-06-24,6091,193
opH01tx1GbU,Superliga. Metallurg - Nasaf 2:1. Highlights,2021-06-23,9832,140
ywunShZQDvs,Superliga. Paxtakor - Andijon 1:0. Highlights,2021-06-23,5579,116
tt0qn7WYgA8,"&quot;Tezkor studiya&quot;. AGMK &quot;Qizilqum&quot;ga taslim bo&#39;ldi, bugun &quot;Paxtakor&quot; va &quot;Nasaf&quot; o&#39;ynaydi",2021-06-23,4575,113
bj6u3521iAw,Superliga. AGMK - Qizilqum 1:2. Highlights,2021-06-22,6548,139
MoglwTy2GXI,Superliga-2021. 10-turning eng chiroyli gollari TOP-5,2021-06-21,3654,68
7cvtV7jNLWk,Superliga-2021. 10-turning barcha gollari,2021-06-21,3991,90
h6byNzZmYgY,Superliga. Nasaf- Andijon 2:0. Highlights,2021-06-20,13138,307
auU3VMISVU,Superliga. Lokomotiv - Qo&#39;qon-1912 - 0:1. Highlights,2021-06-20,5488,84
AeAgdUIftr8,"Тезкор ва Евро студия. Германиядан Португалияга 4та гол, Франция ва Испания юта олмади",2021-06-20,2894,70
AC87zuDw6R4,Superliga. AGMK - Metallurg 2:0. Highlights,2021-06-19,4187,98
4clHACUUnOI,Odil Ahmedov faoliyatini tugatdi. Barchasi uchun rahmat,2021-06-19,25505,474
nXxKPGF1bo4,Superliga. Qizilqum - Surxon 1:1. Highlights,2021-06-18,3334,89
y3v2RM6VQSs,Vadim Abramov qachon istefoga chiqadi?,2021-06-18,22172,714
Lvn_AP88wpA,Tezkor studiya : O&#39;zbekiston muvaffaqiyatsizligi haqida mutaxassislar fikri,2021-06-16,25579,519
1T-teWCeS6o,Евро-студия. Кеча ўтказилган учта ўйин ва &quot;ўлим гуруҳи&quot;да бугунги баҳслар муҳокамаси,2021-06-15,2694,63
U1b7fVk4KtY,Matematika Terma Jamoa JCHga chiqadimi,2021-06-14,30013,762
vM5jKUF3b3s,"&quot;Тезкор студия&quot;. Яманни ҳам мағлуб этдик, олдинда Саудия Арабистони билан ўйин",2021-06-12,13015,404
jZ9pLSWfN0c,O&#39;zbekiston vs Yaman 23:00 #live,2021-06-11,10691,200
